index,Country,Region,Happiness_Score,GDP,Health,Freedom,Generosity
98,Gabon,Sub-Saharan Africa,4.121,1.15851,0.3494,0.28098,0.06244
108,Bolivia,Latin America and Caribbean,5.822,,0.4697,0.50961,0.21698
37,Serbia,Central and Eastern Europe,5.177,1.03437,0.6458,0.15718,0.20737
139,Australia,Australia and New Zealand,7.313,1.44443,0.8512,0.56837,0.47407
33,Colombia,Latin America and Caribbean,6.481,1.03032,0.59659,0.44735,0.15626
142,Haiti,Latin America and Caribbean,4.028,0.34097,0.27494,0.12072,0.47958
43,Hungary,Central and Eastern Europe,5.145,1.24142,0.67608,0.1977,0.099
12,Tajikistan,Central and Eastern Europe,4.996,0.48835,0.53119,0.43408,0.25998
89,Malta,Western Europe,6.488,1.30782,0.80315,0.54994,0.56237
10,South Sudan,Sub-Saharan Africa,3.832,0.39394,0.15781,0.19662,0.25899
7,Belarus,Central and Eastern Europe,5.802,1.13062,0.63104,0.29091,0.13942
135,Kosovo,Central and Eastern Europe,5.401,0.90145,0.54,0.14396,0.27992
5,Macedonia,Central and Eastern Europe,5.121,1.0193,0.64738,0.27668,0.23507
96,Moldova,Central and Eastern Europe,5.897,0.69177,0.52309,0.25202,0.19997
147,Philippines,Southeastern Asia,5.279,0.81217,0.47036,0.54854,0.21674
128,Jordan,Middle East and Northern Africa,5.303,0.99673,0.60712,0.36023,0.14262
56,South Africa,Sub-Saharan Africa,4.459,1.02416,0.18611,0.42483,0.13656
15,Malaysia,Southeastern Asia,6.005,1.25142,0.62366,0.39031,0.41474
119,Argentina,Latin America and Caribbean,6.65,1.15137,0.69711,0.42284,
60,Mali,Sub-Saharan Africa,4.073,0.31292,0.16347,,0.21064
4,South Korea,Eastern Asia,5.835,1.35948,0.88645,0.25168,0.18824
88,Qatar,Middle East and Northern Africa,6.375,1.82427,0.71723,0.56679,0.32388
20,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.70766,0.09511,0.29889
72,Venezuela,Latin America and Caribbean,6.084,1.13367,0.61904,0.19847,0.0425
86,Liberia,Sub-Saharan Africa,3.622,0.10706,0.23165,0.25748,0.24063
40,Laos,Southeastern Asia,4.876,0.68042,0.38291,0.52168,0.43079
85,Burundi,Sub-Saharan Africa,2.905,0.06831,0.15747,0.0432,0.2029
118,Mongolia,Eastern Asia,4.907,0.98853,0.55469,0.35972,0.34539
3,Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.57669,0.52259,0.21286
152,Canada,North America,7.404,1.44015,0.8276,0.5737,0.44834
143,Afghanistan,Southern Asia,3.36,0.38227,,,0.31268
83,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.67806,0.21219,0.12793
21,Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.55449,0.40212,0.38432
106,Ivory Coast,Sub-Saharan Africa,3.916,0.55507,0.04476,0.40663,0.20338
104,Iran,Middle East and Northern Africa,4.813,1.11758,0.64232,0.22544,0.38538
132,North Cyprus,Western Europe,5.771,1.31141,0.84142,0.43596,0.26322
140,Cyprus,Western Europe,5.546,1.31857,0.8488,0.29507,0.27906
129,Iraq,Middle East and Northern Africa,4.575,1.07474,0.51076,0.24856,0.19589
100,Bhutan,Southern Asia,5.196,0.8527,0.49759,0.46074,0.48546
24,Algeria,Middle East and Northern Africa,6.355,1.05266,0.61804,0.21006,0.07044
45,Mexico,Latin America and Caribbean,6.778,1.11508,0.71143,0.37709,
130,Italy,Western Europe,5.977,1.35495,0.85102,0.18827,0.16684
19,Tanzania,Sub-Saharan Africa,3.666,0.47155,0.357,0.3176,
155,Cameroon,Sub-Saharan Africa,4.513,,0.12698,0.42736,0.2268
81,Spain,Western Europe,6.361,1.34253,0.87896,0.37545,0.17665
69,Kuwait,Middle East and Northern Africa,6.239,1.61714,0.63569,0.43166,0.15965
90,Senegal,Sub-Saharan Africa,4.219,0.44314,0.40457,0.31056,0.19103
113,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.57386,0.4052,0.15011
101,Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,0.40425,0.15776
93,Myanmar,Southeastern Asia,4.395,0.34112,0.3988,0.42692,0.81971
1,Germany,Western Europe,6.994,1.44787,0.81487,0.53466,0.30452
137,Zimbabwe,Sub-Saharan Africa,4.193,0.35041,0.1595,0.25429,0.18503
22,Ukraine,Central and Eastern Europe,4.324,0.87287,0.58628,0.12859,0.20363
39,Belize,Latin America and Caribbean,5.956,0.87616,,0.51231,0.23684
112,Norway,Western Europe,7.498,1.57744,0.79579,0.59609,0.37895
49,Estonia,Central and Eastern Europe,5.517,1.27964,0.68098,0.41511,0.08423
154,Pakistan,Southern Asia,5.132,0.68816,0.40306,0.14622,0.31185
97,United States,North America,7.104,1.50796,0.779,0.48163,0.41077
2,Russia,Central and Eastern Europe,5.856,1.23228,0.58991,0.32682,0.02736
107,Iceland,Western Europe,7.501,1.42666,0.86733,0.56624,0.47678
125,Slovenia,Central and Eastern Europe,5.768,1.29947,0.79151,0.53164,0.25738
42,Lebanon,Middle East and Northern Africa,5.129,1.12268,0.76171,0.26228,0.23693
32,Luxembourg,Western Europe,6.871,1.69752,0.84542,0.5487,0.27571
71,Namibia,Sub-Saharan Africa,4.574,0.93287,0.34745,0.48614,0.07795
91,Nepal,Southern Asia,4.793,0.44626,0.50073,0.37012,0.3816
13,Ecuador,Latin America and Caribbean,5.976,0.97306,0.68613,0.4027,0.10074
30,Zambia,Sub-Saharan Africa,4.795,0.61202,0.23573,0.42662,0.17866
114,Singapore,Southeastern Asia,6.739,1.64555,,0.4877,0.32706
95,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.66189,0.46145,0.36951
23,Czech Republic,Central and Eastern Europe,6.596,1.30915,0.76376,,0.09929
34,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.54504,0.35327,0.0564
134,El Salvador,Latin America and Caribbean,6.068,0.8737,0.596,0.37269,0.08877
59,Switzerland,Western Europe,7.509,1.52733,0.86303,0.58557,0.28083
116,Japan,Eastern Asia,5.921,1.38007,0.91491,0.46761,0.10224
77,Montenegro,Central and Eastern Europe,5.161,1.07838,0.63533,0.15111,0.17191
55,Nicaragua,Latin America and Caribbean,5.992,0.69384,0.65213,0.46582,0.29773
41,Sri Lanka,Southern Asia,4.415,0.97318,0.62007,0.50817,0.46978
14,Somalia,Sub-Saharan Africa,5.44,0.0,0.11466,0.56778,0.27225
48,Guinea,Sub-Saharan Africa,3.607,0.22415,0.18829,0.30953,0.29914
46,Latvia,Central and Eastern Europe,5.56,1.21788,0.63952,0.27996,0.17445
156,Turkmenistan,Central and Eastern Europe,5.658,1.08017,0.44006,0.37408,0.22567
117,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.59267,0.37904,0.15457
79,Botswana,Sub-Saharan Africa,3.974,1.09426,0.34752,0.44089,0.12425
127,Ireland,Western Europe,6.907,1.48341,0.81455,0.54008,0.44963
78,Jamaica,Latin America and Caribbean,5.51,0.89333,0.59469,0.43597,0.22245
76,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.188,0.15602,0.25458
52,Uzbekistan,Central and Eastern Europe,5.987,0.73591,0.50163,0.60848,0.34326
82,Romania,Central and Eastern Europe,5.528,1.1697,0.67602,0.36712,0.12889
131,Ethiopia,Sub-Saharan Africa,4.508,0.29283,0.34578,0.36703,0.29522
27,Ghana,Sub-Saharan Africa,4.276,0.63107,0.29681,0.40973,0.21203
148,Libya,Middle East and Northern Africa,5.615,1.06688,0.52304,0.40672,0.17087
64,Israel,Middle East and Northern Africa,7.267,1.33766,0.84917,0.36432,0.32288
