Country,Region,Happiness_Score,GDP,Health,Freedom,Generosity
Gabon,Sub-Saharan Africa,4.121,1.15851,0.3494,0.28098,0.06244
Bolivia,Latin America and Caribbean,5.822,1.0964399999999999,0.4697,0.50961,0.21698
Serbia,Central and Eastern Europe,5.177,1.03437,0.6458,0.15718,0.20737
Australia,Australia and New Zealand,7.313,1.44443,0.8512,0.56837,0.47407
Colombia,Latin America and Caribbean,6.481,1.03032,0.59659,0.44735,0.15626
Haiti,Latin America and Caribbean,4.028,0.34097,0.27494,0.12072,0.47958
Hungary,Central and Eastern Europe,5.145,1.24142,0.67608,0.1977,0.099
Tajikistan,Central and Eastern Europe,4.996,0.48835,0.53119,0.43408,0.25998
Malta,Western Europe,6.488,1.30782,0.80315,0.54994,0.56237
South Sudan,Sub-Saharan Africa,3.832,0.39394,0.15781,0.19662,0.25899
Belarus,Central and Eastern Europe,5.802,1.13062,0.63104,0.29091,0.13942
Kosovo,Central and Eastern Europe,5.401,0.90145,0.54,0.14396,0.27992
Macedonia,Central and Eastern Europe,5.121,1.0193,0.64738,0.27668,0.23507
Moldova,Central and Eastern Europe,5.897,0.69177,0.52309,0.25202,0.19997
Philippines,Southeastern Asia,5.279,0.81217,0.47036,0.54854,0.21674
Jordan,Middle East and Northern Africa,5.303,0.99673,0.60712,0.36023,0.14262
South Africa,Sub-Saharan Africa,4.459,1.02416,0.18611,0.42483,0.13656
Malaysia,Southeastern Asia,6.005,1.25142,0.62366,0.39031,0.41474
Argentina,Latin America and Caribbean,6.65,1.15137,0.69711,0.42284,0.31269
Mali,Sub-Saharan Africa,4.073,0.31292,0.16347,0.33726,0.21064
South Korea,Eastern Asia,5.835,1.35948,0.88645,0.25168,0.18824
Qatar,Middle East and Northern Africa,6.375,1.82427,0.71723,0.56679,0.32388
Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.70766,0.09511,0.29889
Venezuela,Latin America and Caribbean,6.084,1.13367,0.61904,0.19847,0.0425
