Country,Region,Happiness_Score,GDP,Health,Freedom,Generosity,Happiness_Rank
Denmark,Western Europe,7.526,1.44178,0.79504,0.57941,0.36171,1
Switzerland,Western Europe,7.509,1.52733,0.86303,0.58557,0.28083,2
Iceland,Western Europe,7.501,1.42666,0.86733,0.56624,0.47678,3
Norway,Western Europe,7.498,1.57744,0.79579,0.59609,0.37895,4
Finland,Western Europe,7.413,1.40598,0.81091,0.57104,0.25492,5
Canada,North America,7.404,1.44015,0.8276,0.5737,0.44834,6
Netherlands,Western Europe,7.339,1.46468,0.81231,0.55211,0.47416,7
New Zealand,Australia and New Zealand,7.334,1.36066,0.83096,0.58147,0.49401,8
Australia,Australia and New Zealand,7.313,1.44443,0.8512,0.56837,0.47407,9
Sweden,Western Europe,7.291,1.45181,0.83121,0.58218,0.38254,10
Israel,Middle East and Northern Africa,7.267,1.33766,0.84917,0.36432,0.32288,11
Austria,Western Europe,7.119,1.45038,0.80565,0.54355,0.32865,12
United States,North America,7.104,1.50796,0.779,0.48163,0.41077,13
Costa Rica,Latin America and Caribbean,7.087,0.337825,0.76146,0.55225,0.22553,14
Puerto Rico,Latin America and Caribbean,7.039,1.35943,0.77758,0.46823,0.22202,15
Germany,Western Europe,6.994,1.44787,0.81487,0.53466,0.30452,16
Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,0.40425,0.15776,17
Belgium,Western Europe,6.929,1.42539,0.81959,0.51354,0.2424,18
Ireland,Western Europe,6.907,1.48341,0.81455,0.54008,0.44963,19
Luxembourg,Western Europe,6.871,1.69752,0.84542,0.5487,0.27571,20
Mexico,Latin America and Caribbean,6.778,1.11508,0.71143,0.37709,0.11864,21
Singapore,Southeastern Asia,6.739,1.64555,0.44881,0.4877,0.32706,22
United Kingdom,Western Europe,6.725,1.40283,0.80991,0.50036,0.50156,23
Chile,Latin America and Caribbean,6.705,1.2167,0.81883,0.37789,0.31595,24
Panama,Latin America and Caribbean,6.701,1.18306,0.70835,0.48927,0.0438,25
Argentina,Latin America and Caribbean,6.65,1.15137,0.69711,0.42284,0.31269,26
Czech Republic,Central and Eastern Europe,6.596,1.30915,0.76376,0.40736,0.09929,27
United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.72993,0.56215,0.26591,28
Uruguay,Latin America and Caribbean,6.545,1.18157,0.72183,0.54388,0.18056,29
Malta,Western Europe,6.488,1.30782,0.80315,0.54994,0.56237,30
Colombia,Latin America and Caribbean,6.481,1.03032,0.59659,0.44735,0.15626,31
France,Western Europe,6.478,1.39488,0.83795,0.46562,0.1216,32
Thailand,Southeastern Asia,6.474,1.0893,0.64915,0.49553,0.58696,33
Taiwan,Eastern Asia,6.379,1.39729,0.79565,0.32377,0.25495,34
Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.59267,0.37904,0.15457,35
Qatar,Middle East and Northern Africa,6.375,1.82427,0.71723,0.56679,0.32388,36
Spain,Western Europe,6.361,1.34253,0.87896,0.37545,0.17665,37
Algeria,Middle East and Northern Africa,6.355,1.05266,0.61804,0.21006,0.07044,38
Guatemala,Latin America and Caribbean,6.324,0.83454,0.54039,0.50379,0.28808,39
Suriname,Latin America and Caribbean,6.269,1.09686,0.50933,0.52234,0.16665,40
Kuwait,Middle East and Northern Africa,6.239,1.61714,0.63569,0.43166,0.15965,41
Bahrain,Middle East and Northern Africa,6.218,1.44024,0.65696,0.47375,0.17147,42
Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.52608,0.48453,0.31935,43
Venezuela,Latin America and Caribbean,6.084,1.13367,0.61904,0.19847,0.0425,44
Slovakia,Central and Eastern Europe,6.078,1.27973,0.70367,0.23391,0.13837,45
El Salvador,Latin America and Caribbean,6.068,0.8737,0.596,0.37269,0.08877,46
Malaysia,Southeastern Asia,6.005,1.25142,0.62366,0.39031,0.41474,47
Nicaragua,Latin America and Caribbean,5.992,0.69384,0.65213,0.46582,0.29773,48
Uzbekistan,Central and Eastern Europe,5.987,0.73591,0.50163,0.60848,0.34326,49
Italy,Western Europe,5.977,1.35495,0.85102,0.18827,0.16684,50
Ecuador,Latin America and Caribbean,5.976,0.97306,0.68613,0.4027,0.10074,51
Belize,Latin America and Caribbean,5.956,0.87616,0.6910350000000001,0.51231,0.23684,52
Japan,Eastern Asia,5.921,1.38007,0.91491,0.46761,0.10224,53
Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.57386,0.4052,0.15011,54
Moldova,Central and Eastern Europe,5.897,0.69177,0.52309,0.25202,0.19997,55
Russia,Central and Eastern Europe,5.856,1.23228,0.58991,0.32682,0.02736,56
South Korea,Eastern Asia,5.835,1.35948,0.88645,0.25168,0.18824,57
Poland,Central and Eastern Europe,5.835,1.24585,0.69058,0.4519,0.14443,58
Bolivia,Latin America and Caribbean,5.822,1.09644,0.4697,0.50961,0.21698,59
Lithuania,Central and Eastern Europe,5.813,1.2692,0.509675,0.18929,0.02025,60
Belarus,Central and Eastern Europe,5.802,1.13062,0.63104,0.29091,0.13942,61
North Cyprus,Western Europe,5.771,1.31141,0.84142,0.43596,0.26322,62
Slovenia,Central and Eastern Europe,5.768,1.29947,0.79151,0.53164,0.25738,63
Peru,Latin America and Caribbean,5.743,0.99602,0.62994,0.37502,0.14527,64
Turkmenistan,Central and Eastern Europe,5.658,1.08017,0.44006,0.37408,0.22567,65
Mauritius,Sub-Saharan Africa,5.648,1.14372,0.66189,0.46145,0.36951,66
Libya,Middle East and Northern Africa,5.615,1.06688,0.52304,0.40672,0.17087,67
Latvia,Central and Eastern Europe,5.56,1.21788,0.63952,0.27996,0.17445,68
Cyprus,Western Europe,5.546,1.31857,0.8488,0.29507,0.27906,69
Paraguay,Latin America and Caribbean,5.538,0.89373,0.58295,0.46235,0.25296,70
Romania,Central and Eastern Europe,5.528,1.1697,0.67602,0.36712,0.12889,71
Estonia,Central and Eastern Europe,5.517,1.27964,0.68098,0.41511,0.08423,72
Jamaica,Latin America and Caribbean,5.51,0.89333,0.59469,0.43597,0.22245,73
Croatia,Central and Eastern Europe,5.488,1.18649,0.70524,0.23907,0.18434,74
Hong Kong,Eastern Asia,5.458,1.5107,0.95277,0.48079,0.40097,75
Somalia,Sub-Saharan Africa,5.44,0.0,0.11466,0.56778,0.27225,76
